,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Vyto Kab 2 yard pass from Ron Jaworski (Paul McFadden kick),0,7
1,2.0,Cardinals,Stump Mitchell 1 yard rush (Neil O'Donoghue kick),7,7
2,2.0,Eagles,Mike Quick 90 yard pass from Ron Jaworski (Paul McFadden kick),7,14
3,2.0,Cardinals,Neil O'Donoghue 28 yard field goal,10,14
4,2.0,Cardinals,Pat Tilley 8 yard pass from Neil Lomax (Neil O'Donoghue kick),17,14
5,3.0,Cardinals,Doug Marsh 24 yard pass from Neil Lomax (Neil O'Donoghue kick),24,14
6,4.0,Cardinals,Stump Mitchell 1 yard rush (Neil O'Donoghue kick),31,14
7,4.0,Cardinals,Neil O'Donoghue 47 yard field goal,34,14
