,Quarter,Tm,Detail,KAN,CHI
0,1.0,Chiefs,Nick Lowery 19 yard field goal,3,0
1,1.0,Bears,Kevin Butler 24 yard field goal,3,3
2,1.0,Chiefs,Nick Lowery 30 yard field goal,6,3
3,2.0,Chiefs,Nick Lowery 43 yard field goal,9,3
4,2.0,Bears,Johnny Bailey 95 yard punt return (Kevin Butler kick),9,10
5,2.0,Chiefs,Nick Lowery 32 yard field goal,12,10
6,3.0,Chiefs,Christian Okoye 3 yard rush,18,10
7,4.0,Chiefs,Nick Lowery 38 yard field goal,21,10
