,Quarter,Time,Tm,Detail,LAR,JAX
0,1.0,14:46,Rams,Pharoh Cooper 103 yard kickoff return (Greg Zuerlein kick),7,0
1,1.0,14:35,Jaguars,Leonard Fournette 75 yard rush (Jason Myers kick),7,7
2,1.0,8:54,Rams,Greg Zuerlein 56 yard field goal,10,7
3,1.0,6:51,Jaguars,Chris Ivory 22 yard pass from Blake Bortles (Jason Myers kick),10,14
4,1.0,0:22,Rams,Gerald Everett 4 yard pass from Jared Goff (Greg Zuerlein kick),17,14
5,2.0,2:25,Rams,Malcolm Brown 8 yard blocked punt return (Greg Zuerlein kick),24,14
6,3.0,5:16,Jaguars,Jason Myers 41 yard field goal,24,17
7,4.0,2:32,Rams,Greg Zuerlein 29 yard field goal,27,17
