,Quarter,Tm,Detail,RAI,CIN
0,1.0,Raiders,Steve Smith 1 yard rush (Jeff Jaeger kick),7,0
1,2.0,Raiders,Roger Craig 5 yard rush (Jeff Jaeger kick),14,0
2,2.0,Raiders,Tim Brown 75 yard punt return (Jeff Jaeger kick),21,0
3,2.0,Raiders,Elvis Patterson 3 yard defensive fumble return (Jeff Jaeger kick),28,0
4,2.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),28,7
5,3.0,Raiders,Marcus Allen 3 yard rush (Jeff Jaeger kick),35,7
6,4.0,Raiders,Jeff Jaeger 28 yard field goal,38,7
7,4.0,Bengals,Reggie Rembert 23 yard pass from Donald Hollas (Jim Breech kick),38,14
