,Quarter,Tm,Detail,CLE,NOR
0,1.0,Saints,Morten Andersen 52 yard field goal,0,3
1,2.0,Browns,Jerry Kauric 37 yard field goal,3,3
2,2.0,Saints,Dalton Hilliard 4 yard pass from Steve Walsh,3,9
3,2.0,Browns,Jerry Kauric 39 yard field goal,6,9
4,3.0,Saints,Floyd Turner 49 yard pass from Steve Walsh (Morten Andersen kick),6,16
5,4.0,Saints,Eric Martin 13 yard pass from Steve Walsh (Morten Andersen kick),6,23
6,4.0,Saints,"Safety, Massey blocked punt out of end zone",6,25
7,4.0,Browns,Webster Slaughter 13 yard pass from Bernie Kosar (Jerry Kauric kick),13,25
8,4.0,Browns,Kevin Mack 1 yard rush (Jerry Kauric kick),20,25
