,Quarter,Time,Tm,Detail,SEA,STL
0,2.0,,Seahawks,Todd Peterson 24 yard field goal,3,0
1,2.0,,Rams,Jeff Wilkins 51 yard field goal,3,3
2,3.0,,Seahawks,Chris Warren 1 yard rush (Todd Peterson kick),10,3
3,3.0,,Rams,Jeff Wilkins 29 yard field goal,10,6
4,4.0,,Seahawks,Steve Broussard 9 yard rush (Todd Peterson kick),17,6
5,4.0,,Rams,Jeff Wilkins 46 yard field goal,17,9
