,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,Mark Moseley 23 yard field goal,0,3
1,1.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),0,10
2,2.0,Cowboys,Rafael Septien 26 yard field goal,3,10
3,2.0,Redskins,Mark Moseley 30 yard field goal,3,13
4,2.0,Redskins,Mark Moseley 39 yard field goal,3,16
5,2.0,Redskins,Charlie Brown 41 yard pass from Joe Theismann (Mark Moseley kick),3,23
6,3.0,Cowboys,Tony Hill 75 yard pass from Danny White (Rafael Septien kick),10,23
7,3.0,Cowboys,Tony Hill 51 yard pass from Danny White (Rafael Septien kick),17,23
8,4.0,Cowboys,Danny White 1 yard rush (Rafael Septien kick),24,23
9,4.0,Cowboys,Doug Cosbie 1 yard pass from Danny White (Rafael Septien kick),31,23
10,4.0,Redskins,Don Warren 1 yard pass from Joe Theismann (Mark Moseley kick),31,30
