,Quarter,Time,Tm,Detail,ATL,PHI
0,1.0,6:16,Falcons,Drew Davis 15 yard pass from Matt Ryan (Matt Bryant kick),7,0
1,1.0,0:32,Falcons,Jason Snelling 3 yard pass from Matt Ryan (Matt Bryant kick),14,0
2,2.0,8:18,Eagles,LeSean McCoy 2 yard rush (Alex Henery kick),14,7
3,2.0,6:33,Falcons,Julio Jones 63 yard pass from Matt Ryan (Matt Bryant kick),21,7
4,2.0,0:02,Falcons,Matt Bryant 43 yard field goal,24,7
5,3.0,11:20,Eagles,Alex Henery 33 yard field goal,24,10
6,3.0,6:10,Falcons,Matt Bryant 29 yard field goal,27,10
7,4.0,14:57,Falcons,Matt Bryant 30 yard field goal,30,10
8,4.0,7:18,Eagles,LeSean McCoy 7 yard pass from Michael Vick (Alex Henery kick),30,17
