,Quarter,Tm,Detail,NOR,CHI
0,1.0,Bears,Tim Lashar 22 yard field goal,0,3
1,1.0,Bears,Chris Brewer 8 yard pass from Steve Bradley (Tim Lashar kick),0,10
2,2.0,Saints,Florian Kempf 48 yard field goal,3,10
3,2.0,Bears,Glen Kozlowski 18 yard pass from Steve Bradley (Tim Lashar kick),3,17
4,2.0,Saints,Eric Martin 14 yard pass from John Fourcade (Florian Kempf kick),10,17
5,3.0,Saints,Florian Kempf 31 yard field goal,13,17
6,4.0,Saints,Florian Kempf 42 yard field goal,16,17
7,4.0,Saints,Florian Kempf 21 yard field goal,19,17
