,Quarter,Tm,Detail,SEA,DAL
0,1.0,Cowboys,Tony Hill 18 yard pass from Danny White (Rafael Septien kick),0,7
1,1.0,Cowboys,"Safety, Zorn intentionally grounded pass from end zone",0,9
2,2.0,Cowboys,Billy Joe DuPree 14 yard pass from Danny White (Rafael Septien kick),0,16
3,2.0,Cowboys,Ron Springs 3 yard rush (Rafael Septien kick),0,23
4,2.0,Cowboys,Robert Newhouse 3 yard rush (Rafael Septien kick),0,30
5,4.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),0,37
6,4.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),0,44
7,4.0,Cowboys,Billy Joe DuPree 12 yard pass from Glenn Carano (Rafael Septien kick),0,51
8,4.0,Seahawks,Ron Essink 2 yard pass from Jim Zorn (Efren Herrera kick),7,51
