,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,John Roveto 36 yard field goal,3,0
1,1.0,Packers,Harlan Huckleby 1 yard pass from David Whitehurst (Jan Stenerud kick),3,7
2,1.0,Bears,Matt Suhey 1 yard rush (John Roveto kick),10,7
3,2.0,Packers,Harlan Huckleby 39 yard pass from David Whitehurst (Jan Stenerud kick),10,14
4,2.0,Packers,Terdell Middleton 2 yard pass from David Whitehurst (Jan Stenerud kick),10,21
5,4.0,Bears,Walter Payton 2 yard rush (John Roveto kick),17,21
