,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Reuben Gant 7 yard pass from Joe Ferguson (Carson Long kick),7,0
1,1.0,Bills,Jim Braxton 2 yard rush (Carson Long kick),14,0
2,1.0,Patriots,Raymond Clayborn 93 yard kickoff return (John Smith kick),14,7
3,2.0,Bills,Carson Long 30 yard field goal,17,7
4,3.0,Bills,Doug Jones 24 yard interception return (Carson Long kick),24,7
5,4.0,Patriots,Sam Cunningham 10 yard rush (John Smith kick),24,14
