,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,,Patriots,Shawn Jefferson 34 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,0
1,1.0,,Colts,Cary Blanchard 45 yard field goal,7,3
2,2.0,,Colts,Cary Blanchard 38 yard field goal,7,6
3,2.0,,Patriots,Curtis Martin 21 yard pass from Drew Bledsoe (Adam Vinatieri kick),14,6
4,3.0,,Patriots,Vincent Brisby 6 yard pass from Drew Bledsoe (Adam Vinatieri kick),21,6
5,4.0,10:52,Patriots,Troy Brown 21 yard pass from Drew Bledsoe (Adam Vinatieri kick),28,6
6,4.0,10:52,Patriots,Adam Vinatieri 21 yard field goal,31,6
