,Quarter,Time,Tm,Detail,MIN,NOR
0,1.0,10:27,Saints,John Carney 50 yard field goal,0,3
1,1.0,4:56,Saints,John Carney 23 yard field goal,0,6
2,1.0,0:19,Vikings,Randy Moss 29 yard pass from Daunte Culpepper (Gary Anderson kick),7,6
3,2.0,7:50,Saints,Ricky Williams 1 yard rush,7,12
4,2.0,4:29,Saints,John Carney 45 yard field goal,7,15
5,3.0,10:01,Saints,John Carney 29 yard field goal,7,18
6,3.0,5:38,Saints,Chris Oldham 38 yard defensive fumble return (John Carney kick),7,25
7,3.0,0:14,Vikings,Byron Chamberlain 19 yard pass from Daunte Culpepper (Daunte Culpepper run),15,25
8,4.0,8:37,Saints,John Carney 33 yard field goal,15,28
