,Quarter,Tm,Detail,ATL,GNB
0,1.0,Packers,Carroll Dale 23 yard pass from Bart Starr (Dale Livingston kick),0,7
1,2.0,Packers,Donny Anderson 2 yard rush,0,13
2,2.0,Falcons,Ken Vinyard 19 yard field goal,3,13
3,2.0,Packers,Donny Anderson 2 yard rush (Dale Livingston kick),3,20
4,3.0,Falcons,Sonny Campbell 4 yard rush (Ken Vinyard kick),10,20
5,4.0,Falcons,Harmon Wages 17 yard pass from Bob Berry (Ken Vinyard kick),17,20
6,4.0,Falcons,Todd Snyder 18 yard pass from Bob Berry (Ken Vinyard kick),24,20
7,4.0,Packers,Carroll Dale 89 yard pass from Don Horn (Dale Livingston kick),24,27
