,Quarter,Tm,Detail,MIA,IND
0,1.0,Colts,Ray Butler 5 yard pass from Mike Pagel (Raul Allegre kick),0,7
1,1.0,Dolphins,Woody Bennett 2 yard rush (Uwe von Schamann kick),7,7
2,2.0,Colts,Raul Allegre 52 yard field goal,7,10
3,2.0,Colts,Randy McMillan 6 yard rush (Raul Allegre kick),7,17
4,3.0,Dolphins,Nat Moore 2 yard pass from Dan Marino (Uwe von Schamann kick),14,17
5,3.0,Dolphins,Bruce Hardy 2 yard pass from Dan Marino (Uwe von Schamann kick),21,17
6,4.0,Dolphins,Jimmy Cefalo 25 yard pass from Dan Marino (Uwe von Schamann kick),28,17
7,4.0,Dolphins,Mark Clayton 7 yard pass from Dan Marino (Uwe von Schamann kick),35,17
