,Quarter,Time,Tm,Detail,CAR,HOU
0,2.0,,Panthers,Willie Green 30 yard pass from Steve Beuerlein (John Kasay kick),7,0
1,2.0,,Oilers,Al Del Greco 24 yard field goal,7,3
2,2.0,,Panthers,John Kasay 49 yard field goal,10,3
3,3.0,,Panthers,Willie Green 12 yard pass from Steve Beuerlein (John Kasay kick),17,3
4,4.0,,Oilers,Al Del Greco 45 yard field goal,17,6
5,4.0,14:15,Panthers,Sam Mills 41 yard defensive fumble return (John Kasay kick),24,6
6,4.0,14:15,Panthers,Wesley Walls 40 yard pass from Steve Beuerlein (John Kasay kick),31,6
