,Quarter,Tm,Detail,PIT,MIN
0,1.0,Vikings,Hassan Jones 55 yard pass from Tommy Kramer (Chuck Nelson kick),0,7
1,1.0,Steelers,Walter Abercrombie 18 yard pass from Mark Malone (Gary Anderson kick),7,7
2,1.0,Vikings,Hassan Jones 16 yard pass from Tommy Kramer (Chuck Nelson kick),7,14
3,2.0,Vikings,Chuck Nelson 48 yard field goal,7,17
4,3.0,Vikings,Allen Rice 12 yard rush (Chuck Nelson kick),7,24
5,4.0,Vikings,Jim Gustafson 9 yard pass from Tommy Kramer (Chuck Nelson kick),7,31
