,Quarter,Tm,Detail,DAL,PHO
0,1.0,Cowboys,Luis Zendejas 47 yard field goal,3,0
1,2.0,Cardinals,Earl Ferrell 16 yard pass from Neil Lomax (Al Del Greco kick),3,7
2,2.0,Cowboys,Herschel Walker 3 yard rush (Luis Zendejas kick),10,7
3,4.0,Cowboys,Steve Pelluer 1 yard rush (Luis Zendejas kick),17,7
4,4.0,Cardinals,Jay Novacek 23 yard pass from Neil Lomax (Al Del Greco kick),17,14
