,Quarter,Tm,Detail,DEN,RAI
0,1.0,Broncos,David Treadwell 42 yard field goal,3,0
1,2.0,Broncos,David Treadwell 44 yard field goal,6,0
2,3.0,Raiders,Jerry Robinson 5 yard interception return (Jeff Jaeger kick),6,7
3,3.0,Raiders,Terry McDaniel 42 yard defensive fumble return (Jeff Jaeger kick),6,14
4,4.0,Broncos,David Treadwell 24 yard field goal,9,14
