,Quarter,Tm,Detail,PIT,RAM
0,2.0,Rams,Dan Towler 1 yard rush (Les Richter kick),0,7
1,2.0,Rams,Les Richter 12 yard field goal,0,10
2,2.0,Rams,Bob Boyd 74 yard pass from Norm Van Brocklin (Les Richter kick),0,17
3,3.0,Steelers,Lynn Chandnois 8 yard rush (Art Michalik kick),7,17
4,3.0,Steelers,Jim Finks 1 yard rush,13,17
5,4.0,Steelers,Lynn Chandnois 2 yard rush,19,17
6,4.0,Rams,Tom Fears 17 yard pass from Norm Van Brocklin (Les Richter kick),19,24
7,4.0,Steelers,Richie McCabe 50 yard fumble return (Art Michalik kick),26,24
8,4.0,Rams,Les Richter 32 yard field goal,26,27
