,Quarter,Time,Tm,Detail,GNB,CHI
0,2.0,8:03,Bears,Brandon Marshall 15 yard pass from Jay Cutler (Olindo Mare kick),0,7
1,2.0,4:19,Packers,James Jones 29 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2,2.0,0:28,Packers,James Jones 8 yard pass from Aaron Rodgers (Mason Crosby kick),14,7
3,3.0,8:08,Packers,James Jones 6 yard pass from Aaron Rodgers (Mason Crosby kick),21,7
4,3.0,0:12,Bears,Olindo Mare 34 yard field goal,21,10
5,4.0,7:04,Bears,Olindo Mare 34 yard field goal,21,13
