,Quarter,Tm,Detail,OAK,CLE
0,1.0,Browns,Charlie Hall 29 yard interception return (Don Cockroft kick),0,7
1,1.0,Browns,Don Cockroft 46 yard field goal,0,10
2,1.0,Raiders,Fred Biletnikoff 11 yard pass from Ken Stabler (George Blanda kick),7,10
3,1.0,Browns,Greg Pruitt 34 yard pass from Mike Phipps (Don Cockroft kick),7,17
4,2.0,Raiders,Clarence Davis 45 yard pass from Ken Stabler (George Blanda kick),14,17
5,2.0,Raiders,"Safety, Sistrunk tackled K. Brown in end zone",16,17
6,2.0,Raiders,Pete Banaszak 3 yard rush (George Blanda kick),23,17
7,3.0,Raiders,Cliff Branch 10 yard pass from Ken Stabler (George Blanda kick),30,17
8,3.0,Raiders,Clarence Davis 1 yard rush (George Blanda kick),37,17
9,4.0,Browns,Hugh McKinnis 44 yard rush (Don Cockroft kick),37,24
10,4.0,Raiders,George Blanda 30 yard field goal,40,24
