,Quarter,Tm,Detail,BUF,NWE
0,1.0,Patriots,Randy Vataha 32 yard pass from Jim Plunkett (Mike Walker kick),0,7
1,2.0,Bills,O.J. Simpson 13 yard rush (John Leypoldt kick),7,7
2,2.0,Bills,John Leypoldt 44 yard field goal,10,7
3,2.0,Bills,Wayne Patrick 7 yard pass from Dennis Shaw (John Leypoldt kick),17,7
4,3.0,Patriots,Bob Windsor 2 yard pass from Jim Plunkett (Mike Walker kick),17,14
5,3.0,Patriots,John Tarver 1 yard rush (Mike Walker kick),17,21
6,4.0,Patriots,Mike Walker 36 yard field goal,17,24
7,4.0,Bills,Bob Chandler 42 yard pass from Dennis Shaw (John Leypoldt kick),24,24
8,4.0,Bills,John Leypoldt 45 yard field goal,27,24
