,Quarter,Tm,Detail,WAS,BKN
0,1.0,Dodgers,Ralph Kercheval 3 yard rush,0,6
1,1.0,Redskins,Riley Smith 32 yard field goal,3,6
2,4.0,Redskins,Riley Smith 23 yard field goal,6,6
