,Quarter,Time,Tm,Detail,SEA,ARI
0,1.0,12:45,Cardinals,Bryant Johnson 56 yard pass from Matt Leinart (Neil Rackers kick),0,7
1,1.0,3:27,Cardinals,Edgerrin James 7 yard rush (Neil Rackers kick),0,14
2,1.0,2:37,Seahawks,D.J. Hackett 23 yard pass from Matt Hasselbeck (Josh Brown kick),7,14
3,2.0,3:14,Cardinals,Neil Rackers 32 yard field goal,7,17
4,2.0,0:30,Seahawks,Nate Burleson 5 yard pass from Matt Hasselbeck (Josh Brown kick),14,17
5,3.0,5:05,Seahawks,Darrell Jackson 2 yard pass from Matt Hasselbeck (Josh Brown kick),21,17
6,4.0,14:56,Cardinals,Larry Fitzgerald 5 yard pass from Matt Leinart (Neil Rackers kick),21,24
7,4.0,3:30,Cardinals,Neil Rackers 40 yard field goal,21,27
