,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Billy Wilson 37 yard pass from Y.A. Tittle (Gordie Soltau kick),0,7
1,1.0,49ers,Gordie Soltau 28 yard field goal,0,10
2,2.0,Bears,George Blanda 15 yard field goal,3,10
3,2.0,49ers,Dicky Moegle 5 yard rush (Gordie Soltau kick),3,17
4,2.0,Bears,Bill McColl 9 yard pass from Ed Brown (George Blanda kick),10,17
5,3.0,Bears,Ed Brown 5 yard rush (George Blanda kick),17,17
6,3.0,Bears,Bobby Watkins 4 yard rush (George Blanda kick),24,17
7,4.0,49ers,Billy Wilson 72 yard pass from Y.A. Tittle,24,23
8,4.0,Bears,George Blanda 25 yard field goal,27,23
9,4.0,Bears,Ed Brown 32 yard rush (George Blanda kick),34,23
