,Quarter,Time,Tm,Detail,OAK,NOR
0,1.0,9:44,Raiders,Sebastian Janikowski 24 yard field goal,3,0
1,2.0,3:45,Saints,Reggie Bush 3 yard rush (Taylor Mehlhaff kick),3,7
2,2.0,0:50,Saints,Taylor Mehlhaff 44 yard field goal,3,10
3,3.0,7:42,Saints,Aaron Stecker 8 yard pass from Drew Brees (Taylor Mehlhaff kick),3,17
4,3.0,5:57,Saints,Reggie Bush 15 yard pass from Drew Brees (Taylor Mehlhaff kick),3,24
5,4.0,14:10,Saints,Taylor Mehlhaff 33 yard field goal,3,27
6,4.0,11:04,Saints,Mark Campbell 2 yard pass from Drew Brees (Taylor Mehlhaff kick),3,34
