,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Lemar Parrish 47 yard interception return (Chris Bahr kick),0,7
1,2.0,Steelers,Franco Harris 5 yard rush (Roy Gerela kick),7,7
2,2.0,Steelers,Roy Gerela 32 yard field goal,10,7
3,3.0,Bengals,Chris Bahr 24 yard field goal,10,10
4,3.0,Bengals,Pat McInally 43 yard pass from Ken Anderson (Chris Bahr kick),10,17
