,Quarter,Tm,Detail,ATL,DAL
0,1.0,Cowboys,Danny Noonan 17 yard interception return (Roger Ruzek kick),0,7
1,1.0,Cowboys,Herschel Walker 2 yard pass from Steve Pelluer (Roger Ruzek kick),0,14
2,1.0,Falcons,Stacey Bailey 68 yard pass from Chris Miller (Greg Davis kick),7,14
3,2.0,Falcons,Floyd Dixon 12 yard pass from Chris Miller (Greg Davis kick),14,14
4,2.0,Falcons,Greg Davis 43 yard field goal,17,14
5,3.0,Falcons,Greg Davis 24 yard field goal,20,14
6,3.0,Cowboys,"Safety, Noonan tackled Miller in end zone",20,16
7,4.0,Cowboys,Roger Ruzek 25 yard field goal,20,19
8,4.0,Cowboys,Ray Alexander 29 yard pass from Steve Pelluer (Roger Ruzek kick),20,26
