,Quarter,Tm,Detail,MIA,SEA
0,1.0,Dolphins,Pete Stoyanovich 53 yard field goal,3,0
1,2.0,Seahawks,Louis Clark 26 yard pass from Kelly Stouffer (John Kasay kick),3,7
2,2.0,Seahawks,John Kasay 35 yard field goal,3,10
3,2.0,Dolphins,Pete Stoyanovich 31 yard field goal,6,10
4,3.0,Dolphins,Pete Stoyanovich 37 yard field goal,9,10
5,4.0,Dolphins,Pete Stoyanovich 27 yard field goal,12,10
6,4.0,Seahawks,John Williams 4 yard rush (John Kasay kick),12,17
7,4.0,Dolphins,Fred Banks 15 yard pass from Dan Marino (Pete Stoyanovich kick),19,17
