,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,9:32,Giants,Dan Campbell 5 yard pass from Kerry Collins (Brad Daluiso kick),7,0
1,2.0,10:15,Giants,Ron Dayne 1 yard rush (Brad Daluiso kick),14,0
2,3.0,6:24,Giants,Tiki Barber 23 yard rush (Brad Daluiso kick),21,0
3,3.0,2:01,Cardinals,Michael Pittman 36 yard pass from Dave Brown (Cary Blanchard kick),21,7
4,4.0,10:06,Giants,Amani Toomer 19 yard rush (Brad Daluiso kick),28,7
5,4.0,6:49,Giants,Brad Daluiso 25 yard field goal,31,7
