,Quarter,Tm,Detail,RAM,TAM
0,1.0,Buccaneers,Obed Ariri 26 yard field goal,0,3
1,1.0,Buccaneers,James Wilder 1 yard rush,0,9
2,2.0,Rams,Eric Dickerson 2 yard rush (Mike Lansford kick),7,9
3,2.0,Buccaneers,Jerry Bell 16 yard pass from Steve DeBerg (Obed Ariri kick),7,16
4,2.0,Rams,Mike Lansford 35 yard field goal,10,16
5,3.0,Rams,Eric Dickerson 2 yard rush (Mike Lansford kick),17,16
6,3.0,Buccaneers,Obed Ariri 24 yard field goal,17,19
7,3.0,Buccaneers,Adger Armstrong 6 yard pass from Steve DeBerg (Obed Ariri kick),17,26
8,4.0,Rams,Jeff Kemp 1 yard rush (Mike Lansford kick),24,26
9,4.0,Rams,Eric Dickerson 33 yard rush (Mike Lansford kick),31,26
10,4.0,Rams,Mike Lansford 27 yard field goal,34,26
11,4.0,Buccaneers,James Wilder 1 yard rush (Obed Ariri kick),34,33
