,Quarter,Time,Tm,Detail,CLE,STL
0,1.0,8:34,Rams,Roland Williams 1 yard pass from Kurt Warner (Jeff Wilkins kick),0,7
1,1.0,6:49,Rams,Isaac Bruce 4 yard pass from Kurt Warner (Jeff Wilkins kick),0,14
2,1.0,0:17,Browns,Phil Dawson 47 yard field goal,3,14
3,2.0,10:59,Rams,Roland Williams 1 yard pass from Kurt Warner (Jeff Wilkins kick),3,21
4,3.0,3:13,Rams,Jeff Wilkins 28 yard field goal,3,24
5,4.0,14:50,Rams,Marshall Faulk 33 yard rush (Jeff Wilkins kick),3,31
6,4.0,4:06,Rams,Jeff Wilkins 36 yard field goal,3,34
