,Quarter,Tm,Detail,CHI,BUF
0,1.0,Bills,John Leypoldt 47 yard field goal,0,3
1,1.0,Bills,Larry Watkins 1 yard rush (John Leypoldt kick),0,10
2,2.0,Bears,Mirro Roder 42 yard field goal,3,10
3,4.0,Bills,John Leypoldt 25 yard field goal,3,13
4,4.0,Bears,Mirro Roder 28 yard field goal,6,13
5,4.0,Bills,John Leypoldt 36 yard field goal,6,16
