,Quarter,Tm,Detail,NYG,STL
0,2.0,Giants,Ron Johnson 2 yard rush (Pete Gogolak kick),7,0
1,2.0,Giants,Joe Dawkins 1 yard rush (Pete Gogolak kick),14,0
2,3.0,Cardinals,Ken Willard 4 yard pass from Jim Hart,14,6
3,3.0,Cardinals,Jackie Smith 28 yard pass from Jim Hart (Jim Bakken kick),14,13
4,3.0,Cardinals,Terry Metcalf 1 yard rush (Jim Bakken kick),14,20
5,4.0,Cardinals,Terry Metcalf 16 yard rush,14,26
