,Quarter,Time,Tm,Detail,ATL,SEA
0,1.0,6:19,Falcons,Peerless Price 2 yard pass from Michael Vick (Jay Feely kick),7,0
1,1.0,3:06,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),7,7
2,2.0,8:32,Falcons,Jay Feely 33 yard field goal,10,7
3,2.0,6:56,Falcons,DeAngelo Hall 48 yard interception return (Jay Feely kick),17,7
4,2.0,3:25,Seahawks,Darrell Jackson 3 yard pass from Matt Hasselbeck (Josh Brown kick),17,14
5,3.0,7:35,Seahawks,Jerramy Stevens 3 yard pass from Matt Hasselbeck (Josh Brown kick),17,21
6,4.0,10:12,Falcons,Jay Feely 40 yard field goal,20,21
7,4.0,4:28,Seahawks,Matt Hasselbeck 1 yard rush (Josh Brown kick),20,28
8,4.0,0:00,Falcons,Brian Finneran 3 yard pass from Matt Schaub,26,28
