,Quarter,Tm,Detail,PHI,CHI
0,1.0,Eagles,Horst Muhlmann 44 yard field goal,3,0
1,2.0,Bears,Bob Thomas 44 yard field goal,3,3
2,2.0,Bears,Cid Edwards 7 yard pass from Gary Huff,3,9
3,2.0,Eagles,Horst Muhlmann 43 yard field goal,6,9
4,4.0,Bears,Bob Thomas 24 yard field goal,6,12
5,4.0,Eagles,Harold Carmichael 14 yard pass from Roman Gabriel (Horst Muhlmann kick),13,12
6,4.0,Bears,Bob Thomas 26 yard field goal,13,15
