,Quarter,Time,Tm,Detail,DAL,NOR
0,1,9:41,Cowboys,Dan Bailey 30 yard field goal,3,0
1,1,3:48,Saints,Josh Hill 3 yard pass from Drew Brees (Zach Hocker kick),3,7
2,2,13:35,Cowboys,Joseph Randle 1 yard rush (Dan Bailey kick),10,7
3,3,11:19,Saints,Zach Hocker 51 yard field goal,10,10
4,3,8:20,Cowboys,Dan Bailey 38 yard field goal,13,10
5,3,1:26,Saints,Zach Hocker 29 yard field goal,13,13
6,4,7:58,Saints,Khiry Robinson 1 yard rush (Zach Hocker kick),13,20
7,4,1:51,Cowboys,Terrance Williams 17 yard pass from Brandon Weeden (Dan Bailey kick),20,20
8,OT,14:47,Saints,C.J. Spiller 80 yard pass from Drew Brees,20,26
