,Quarter,Tm,Detail,SEA,SDG
0,2.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),0,7
1,2.0,Chargers,Chuck Muncie 10 yard rush (Rolf Benirschke kick),0,14
2,2.0,Chargers,John Jefferson 19 yard pass from Dan Fouts (Rolf Benirschke kick),0,21
3,3.0,Seahawks,Jim Jodat 15 yard rush (Efren Herrera kick),7,21
4,4.0,Seahawks,Steve Largent 2 yard pass from Jim Zorn (Efren Herrera kick),14,21
