,Quarter,Tm,Detail,ATL,CHI
0,1.0,Falcons,William Andrews 23 yard pass from Steve Bartkowski,6,0
1,2.0,Bears,Ken Margerum 8 yard pass from Jim McMahon (Bob Thomas kick),6,7
2,2.0,Bears,Bob Thomas 29 yard field goal,6,10
3,3.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),13,10
4,3.0,Bears,Anthony Hutchison 2 yard rush (Bob Thomas kick),13,17
5,4.0,Falcons,Alfred Jenkins 21 yard pass from Steve Bartkowski (Mick Luckhurst kick),20,17
