,Quarter,Tm,Detail,PHI,BOS
0,1.0,Eagles,Roy Zimmerman 1 yard rush (Roy Zimmerman kick),7,0
1,2.0,Eagles,Jack Banta 2 yard rush (Roy Zimmerman kick),14,0
2,3.0,Eagles,Mel Bleeker 1 yard rush (Roy Zimmerman kick),21,0
3,4.0,Yanks,Ted Williams 25 yard rush (Augie Lio kick),21,7
4,4.0,Eagles,Ernie Steele 7 yard rush (Ben Kish kick),28,7
