,Quarter,Time,Tm,Detail,DEN,OAK
0,1.0,8:45,Broncos,Ed McCaffrey 10 yard pass from Brian Griese (Joe Nedney kick),7,0
1,1.0,8:26,Broncos,Trevor Pryce 28 yard defensive fumble return (Joe Nedney kick),14,0
2,1.0,6:24,Broncos,Joe Nedney 24 yard field goal,17,0
3,1.0,2:36,Raiders,Tim Brown 11 yard pass from Rich Gannon (Sebastian Janikowski kick),17,7
4,2.0,14:27,Broncos,Howard Griffith 1 yard pass from Brian Griese (Joe Nedney kick),24,7
5,2.0,10:25,Raiders,Sebastian Janikowski 19 yard field goal,24,10
6,2.0,9:23,Raiders,Tim Brown 9 yard pass from Rich Gannon (Sebastian Janikowski kick),24,17
7,2.0,7:48,Raiders,Randy Jordan 3 yard blocked punt return (Sebastian Janikowski kick),24,24
8,3.0,3:53,Broncos,Joe Nedney 32 yard field goal,27,24
9,4.0,13:07,Broncos,Joe Nedney 22 yard field goal,30,24
10,4.0,4:48,Broncos,Joe Nedney 21 yard field goal,33,24
