,Quarter,Tm,Detail,OAK,MIN
0,1.0,Vikings,Fred Cox 22 yard field goal,0,3
1,1.0,Vikings,John Gilliam 43 yard pass from Fran Tarkenton (Fred Cox kick),0,10
2,2.0,Raiders,George Blanda 16 yard field goal,3,10
3,2.0,Raiders,George Blanda 25 yard field goal,6,10
4,2.0,Raiders,George Atkinson 63 yard punt return (George Blanda kick),13,10
5,3.0,Raiders,George Blanda 9 yard field goal,16,10
6,3.0,Vikings,Chuck Foreman 9 yard pass from Fran Tarkenton (Fred Cox kick),16,17
7,4.0,Vikings,Bill Brown 6 yard rush (Fred Cox kick),16,24
