,Quarter,Time,Tm,Detail,DAL,HOU
0,1,10:03,Cowboys,Brett Maher 27 yard field goal,3,0
1,1,3:10,Cowboys,Brett Maher 43 yard field goal,6,0
2,2,13:40,Texans,Keke Coutee 1 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),6,7
3,2,6:00,Texans,Ka'imi Fairbairn 20 yard field goal,6,10
4,3,11:52,Cowboys,Allen Hurns 3 yard pass from Dak Prescott (Brett Maher kick),13,10
5,3,5:02,Texans,Ka'imi Fairbairn 21 yard field goal,13,13
6,4,8:31,Texans,Ka'imi Fairbairn 19 yard field goal,13,16
7,4,5:39,Cowboys,Brett Maher 48 yard field goal,16,16
8,OT,1:50,Texans,Ka'imi Fairbairn 36 yard field goal,16,19
