,Quarter,Time,Tm,Detail,CHI,KAN
0,2.0,13:40,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),0,7
1,2.0,7:07,Chiefs,Eddie Kennison 6 yard pass from Trent Green (Morten Andersen kick),0,14
2,3.0,9:24,Bears,Paul Edinger 48 yard field goal,3,14
3,3.0,0:58,Chiefs,Priest Holmes 2 yard rush (Morten Andersen kick),3,21
4,4.0,10:03,Chiefs,Morten Andersen 38 yard field goal,3,24
5,4.0,3:40,Chiefs,Larry Johnson 5 yard rush (Morten Andersen kick),3,31
