,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,11:16,Falcons,Jason Elam 23 yard field goal,0,3
1,1.0,5:03,Falcons,Harry Douglas 7 yard rush (Jason Elam kick),0,10
2,2.0,13:20,Falcons,Michael Turner 1 yard rush (Jason Elam kick),0,17
3,2.0,5:22,Panthers,John Kasay 23 yard field goal,3,17
4,3.0,12:21,Panthers,DeAngelo Williams 5 yard rush (John Kasay kick),10,17
5,3.0,5:27,Panthers,John Kasay 21 yard field goal,13,17
6,4.0,14:57,Falcons,Michael Turner 4 yard rush (Jason Elam kick),13,24
7,4.0,10:57,Panthers,Jake Delhomme 12 yard rush (DeAngelo Williams run),21,24
8,4.0,7:13,Falcons,Michael Turner 1 yard rush (Jason Elam kick),21,31
9,4.0,4:47,Falcons,Harry Douglas 61 yard punt return (Jason Elam kick),21,38
10,4.0,2:23,Panthers,Muhsin Muhammad 16 yard pass from Jake Delhomme (John Kasay kick),28,38
11,4.0,0:54,Falcons,Michael Turner 16 yard rush (Jason Elam kick),28,45
