,Quarter,Time,Tm,Detail,NWE,HOU
0,1.0,11:19,Texans,Joel Dreessen 25 yard pass from Matt Schaub (Kris Brown kick),0,7
1,1.0,0:50,Patriots,Fred Taylor 4 yard rush (Stephen Gostkowski kick),7,7
2,2.0,9:51,Patriots,Stephen Gostkowski 51 yard field goal,10,7
3,2.0,4:41,Texans,Bernard Pollard -1 yard defensive fumble return (Kris Brown kick failed),10,13
4,2.0,0:46,Patriots,Stephen Gostkowski 43 yard field goal,13,13
5,3.0,7:43,Patriots,Darius Butler 91 yard interception return (Stephen Gostkowski kick),20,13
6,4.0,14:04,Patriots,Fred Taylor 11 yard rush (Stephen Gostkowski kick),27,13
7,4.0,9:41,Texans,Jacoby Jones 8 yard pass from Matt Schaub (Kris Brown kick),27,20
8,4.0,4:43,Texans,Arian Foster 1 yard rush (Kris Brown kick),27,27
9,4.0,1:54,Texans,Arian Foster 3 yard rush (Kris Brown kick),27,34
