,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,8:17,Falcons,Terance Mathis 22 yard pass from Tony Graziani (Morten Andersen kick),7,0
1,2.0,13:12,Saints,Doug Brien 42 yard field goal,7,3
2,2.0,9:47,Saints,Eddie Kennison 90 yard pass from Billy Joe Hobert (Doug Brien kick),7,10
3,2.0,0:46,Saints,Brett Bech 23 yard pass from Billy Joe Tolliver (Doug Brien kick),7,17
4,3.0,10:59,Falcons,Bob Christian 1 yard rush (Morten Andersen kick),14,17
5,4.0,14:17,Falcons,Morten Andersen 36 yard field goal,17,17
6,4.0,8:29,Falcons,Morten Andersen 44 yard field goal,20,17
