,Quarter,Tm,Detail,RAI,MIA
0,2.0,Dolphins,Pete Stoyanovich 26 yard field goal,0,3
1,2.0,Dolphins,J.B. Brown 35 yard interception return (Pete Stoyanovich kick),0,10
2,3.0,Dolphins,Mark Duper 62 yard pass from Dan Marino (Pete Stoyanovich kick),0,17
3,4.0,Raiders,Eddie Anderson 102 yard interception return (Jeff Jaeger kick),7,17
4,4.0,Dolphins,Pete Stoyanovich 25 yard field goal,7,20
