,Quarter,Tm,Detail,MIA,IND
0,1.0,Dolphins,Pete Stoyanovich 43 yard field goal,3,0
1,1.0,Dolphins,Scott Schwedes 70 yard punt return (Pete Stoyanovich kick),10,0
2,1.0,Colts,Andre Rison 6 yard pass from Jack Trudeau (Dean Biasucci kick),10,7
3,2.0,Dolphins,Pete Stoyanovich 47 yard field goal,13,7
4,2.0,Colts,Mark Boyer 1 yard pass from Jack Trudeau (Dean Biasucci kick),13,14
5,3.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),13,21
6,3.0,Colts,James Pruitt 5 yard pass from Jack Trudeau (Dean Biasucci kick),13,28
7,4.0,Colts,Albert Bentley 6 yard pass from Jack Trudeau (Dean Biasucci kick),13,35
8,4.0,Colts,Eric Dickerson 2 yard rush (Dean Biasucci kick),13,42
