,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,John Leypoldt 45 yard field goal,3,0
1,1.0,Patriots,Mack Herron 43 yard pass from Jim Plunkett (John Smith kick),3,7
2,1.0,Bills,John Leypoldt 20 yard field goal,6,7
3,2.0,Patriots,Mack Herron 20 yard pass from Jim Plunkett (John Smith kick),6,14
4,2.0,Bills,Ahmad Rashad 25 yard pass from Joe Ferguson,12,14
5,2.0,Patriots,Sam Cunningham 31 yard rush (John Smith kick),12,21
6,2.0,Bills,O.J. Simpson 1 yard rush (John Leypoldt kick),19,21
7,3.0,Bills,Dave Washington 72 yard interception return (John Leypoldt kick),26,21
8,3.0,Patriots,Mack Herron 2 yard rush (John Smith kick),26,28
9,4.0,Bills,John Leypoldt 47 yard field goal,29,28
