,Quarter,Time,Tm,Detail,WAS,CLE
0,1.0,1:50,Washington,Dontrelle Inman 17 yard pass from Dwayne Haskins (Dustin Hopkins kick),7,0
1,2.0,10:48,Browns,Cody Parkey 42 yard field goal,7,3
2,2.0,6:06,Browns,Nick Chubb 16 yard rush (Cody Parkey kick),7,10
3,2.0,0:37,Browns,Kareem Hunt 9 yard pass from Baker Mayfield (Cody Parkey kick),7,17
4,3.0,9:09,Washington,Antonio Gibson 2 yard rush (Dustin Hopkins kick failed),13,17
5,3.0,2:24,Washington,Dontrelle Inman 11 yard pass from Dwayne Haskins (Dustin Hopkins kick),20,17
6,4.0,11:19,Browns,Harrison Bryant 3 yard pass from Baker Mayfield (Cody Parkey kick),20,24
7,4.0,8:47,Browns,Nick Chubb 20 yard rush (Cody Parkey kick),20,31
8,4.0,1:13,Browns,Cody Parkey 30 yard field goal,20,34
