,Quarter,Tm,Detail,PHO,CIN
0,2.0,Cardinals,Stump Mitchell 4 yard pass from Neil Lomax (Al Del Greco kick),7,0
1,2.0,Bengals,James Brooks 25 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,3.0,Cardinals,Roy Green 29 yard pass from Neil Lomax (Al Del Greco kick),14,7
3,3.0,Bengals,Eddie Brown 61 yard pass from Boomer Esiason (Jim Breech kick),14,14
4,4.0,Bengals,Mike Martin 15 yard pass from Boomer Esiason (Jim Breech kick),14,21
