,Quarter,Tm,Detail,IND,NYJ
0,1.0,Jets,Pat Leahy 35 yard field goal,0,3
1,1.0,Jets,Jo-Jo Townsell 59 yard punt return (Pat Leahy kick),0,10
2,1.0,Colts,Eric Dickerson 9 yard rush,6,10
3,2.0,Colts,Eric Dickerson 50 yard pass from Gary Hogeboom (Dean Biasucci kick),13,10
4,3.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),13,17
5,3.0,Jets,Johnny Hector 2 yard rush (Pat Leahy kick),13,24
6,3.0,Colts,Dean Biasucci 45 yard field goal,16,24
7,3.0,Jets,Al Toon 33 yard pass from Ken O'Brien (Pat Leahy kick),16,31
8,4.0,Jets,Pat Leahy 46 yard field goal,16,34
