,Quarter,Tm,Detail,CLE,PIT
0,1.0,Steelers,Gary Anderson 34 yard field goal,0,3
1,2.0,Browns,Matt Stover 19 yard field goal,3,3
2,3.0,Steelers,Dwight Stone 65 yard pass from Bubby Brister (Gary Anderson kick),3,10
3,4.0,Steelers,Richard Shelton 57 yard interception return (Gary Anderson kick),3,17
4,4.0,Browns,Michael Jackson 27 yard pass from Bernie Kosar (Matt Stover kick),10,17
