,Quarter,Tm,Detail,GNB,RAI
0,1.0,Raiders,Todd Christensen 3 yard pass from Jim Plunkett (Chris Bahr kick),0,7
1,2.0,Packers,Ed West 7 yard pass from Randy Wright (Eddie Garcia kick),7,7
2,3.0,Raiders,Frank Hawkins 1 yard rush (Chris Bahr kick),7,14
3,4.0,Raiders,Marcus Allen 7 yard rush (Chris Bahr kick),7,21
4,4.0,Raiders,Derrick Jensen 1 yard rush (Chris Bahr kick),7,28
