,Quarter,Tm,Detail,CIN,PHI
0,1,Reds,Algy Clark 15 yard field goal,3,0
1,2,Eagles,Jack Roberts 1 yard rush (Red Davis kick),3,7
2,3,Eagles,Red Davis 5 yard rush,3,13
3,4,Eagles,Lee Woodruff 55 yard interception return (Joe Carter kick),3,20
