,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Clarke Hinkle 69 yard pass from Arnie Herber (Bob Monnett kick),0,7
1,4.0,Packers,Roger Grove 10 yard pass from Arnie Herber,0,13
2,4.0,Packers,"Safety, Russell punt blocked out of end zone",0,15
