,Quarter,Tm,Detail,GNB,CLE
0,1.0,Browns,Gary Collins 11 yard pass from Frank Ryan (Lou Groza kick),0,7
1,2.0,Browns,Gary Collins 24 yard pass from Frank Ryan (Lou Groza kick),0,14
2,2.0,Packers,Paul Hornung 44 yard pass from Bart Starr (Don Chandler kick),7,14
3,2.0,Browns,Lou Groza 42 yard field goal,7,17
4,3.0,Packers,Jim Taylor 1 yard rush (Don Chandler kick),14,17
5,4.0,Browns,Lou Groza 46 yard field goal,14,20
6,4.0,Packers,Jim Taylor 9 yard pass from Bart Starr (Don Chandler kick),21,20
