,Quarter,Tm,Detail,CLE,DET
0,1.0,Browns,Leroy Kelly 4 yard rush (Lou Groza kick),7,0
1,1.0,Lions,Garo Yepremian 33 yard field goal,7,3
2,2.0,Browns,Paul Warfield 42 yard pass from Frank Ryan (Lou Groza kick),14,3
3,2.0,Lions,Tom Watkins 4 yard rush (Garo Yepremian kick),14,10
4,3.0,Lions,Mel Farr 5 yard pass from Milt Plum (Garo Yepremian kick),14,17
5,4.0,Lions,Tom Watkins 4 yard rush (Garo Yepremian kick),14,24
6,4.0,Lions,Tom Nowatzke 3 yard rush (Garo Yepremian kick),14,31
