,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Ken MacAfee 18 yard pass from Kyle Rote (Ben Agajanian kick),0,7
1,1.0,Giants,Bob Schnelker 24 yard pass from Frank Gifford (Ben Agajanian kick),0,14
2,2.0,Cardinals,Pat Summerall 50 yard field goal,3,14
3,4.0,Cardinals,Ollie Matson 8 yard rush (Pat Summerall kick),10,14
4,4.0,Giants,Ken MacAfee 25 yard pass from Charlie Conerly (Ben Agajanian kick),10,21
5,4.0,Giants,Ben Agajanian 22 yard field goal,10,24
6,4.0,Giants,Eddie Price 21 yard pass from Frank Gifford (Ben Agajanian kick),10,31
7,4.0,Cardinals,Don Stonesifer 9 yard pass from Lamar McHan (Pat Summerall kick),17,31
