,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,9:46,Colts,Marvin Harrison 27 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,2.0,0:03,Dolphins,Olindo Mare 28 yard field goal,3,7
2,3.0,7:29,Dolphins,J.J. Johnson 3 yard rush (Olindo Mare kick),10,7
3,4.0,14:14,Colts,Marvin Harrison 8 yard pass from Peyton Manning (Mike Vanderjagt kick),10,14
4,4.0,1:10,Dolphins,Oronde Gadsden 17 yard pass from Damon Huard (Olindo Mare kick),17,14
