,Quarter,Time,Tm,Detail,KAN,MIA
0,1.0,,Chiefs,Derrick Walker 1 yard pass from Joe Montana (Lin Elliott kick),7,0
1,1.0,,Dolphins,Bernie Parmalee 1 yard rush (Pete Stoyanovich kick),7,7
2,1.0,,Chiefs,Kimble Anders 57 yard pass from Joe Montana (Lin Elliott kick),14,7
3,2.0,,Dolphins,Pete Stoyanovich 40 yard field goal,14,10
4,2.0,,Chiefs,Lin Elliott 21 yard field goal,17,10
5,2.0,,Dolphins,Ronnie Williams 1 yard pass from Dan Marino (Pete Stoyanovich kick),17,17
6,3.0,,Dolphins,Irving Fryar 7 yard pass from Dan Marino (Pete Stoyanovich kick),17,24
7,3.0,,Dolphins,Pete Stoyanovich 40 yard field goal,17,27
